County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CHAMBERS,42717144.0,36120815.0,56542269.0,64215274.0,52501334.0,82621396.0,69216651.0,48513362.0,57827626.0,76663419.0,54277402.0,49866604.0,61982432.0,60683600.0,64122391.0,59753926.0
CHEROKEE,26889312.0,26894672.0,18359612.0,33193817.0,37635765.0,35200476.0,30818965.0,30117787.0,23835055.0,19738348.0,17317838.0,18627213.0,20783690.0,18069373.0,10887421.0,2451724.0
CHILDRESS,399246.0,410517.0,386216.0,266646.0,331446.0,246878.0,151056.0,124893.0,148565.0,63479.0,4729.0,67830.0,90950.0,77395.0,5311.0,1092.0
CLAY,6744001.0,6978835.0,7059171.0,7454935.0,7166900.0,6400036.0,5971144.0,5776067.0,5431471.0,5444223.0,5056802.0,4292454.0,3916523.0,4514340.0,5196570.0,3961076.0
COCHRAN,48919425.0,50839627.0,53328058.0,53453490.0,56378451.0,50061733.0,45238793.0,43010162.0,44740930.0,44854952.0,39493205.0,38567801.0,37298293.0,36221586.0,33741821.0,24832922.0
COKE,34259197.0,31136087.0,39554098.0,40755124.0,45175051.0,43917610.0,32988498.0,31945800.0,32994867.0,21650715.0,7515231.0,6517096.0,7181513.0,8697814.0,8507776.0,6163905.0
COLEMAN,4339316.0,4310890.0,4280930.0,4322216.0,5026479.0,5059188.0,4473118.0,4274337.0,4158258.0,3807681.0,3499067.0,3208496.0,2632093.0,1996377.0,2229723.0,1743691.0
COLLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLINGSWORTH,28870.0,29115.0,31675.0,31675.0,31845.0,45325.0,19240.0,6435.0,51030.0,45950.0,37025.0,41757.0,25771.0,11898.0,7115.0,4977.0
COLORADO,4138904.0,3954352.0,4382899.0,4643063.0,3538257.0,2959347.0,2705802.0,2706977.0,2870834.0,2603680.0,2635113.0,2784581.0,2257453.0,2227864.0,1842124.0,914580.0
COMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMANCHE,13926.0,22951.0,38937.0,26425.0,17160.0,16660.0,8210.0,4360.0,4240.0,4260.0,2340.0,1328.0,19575.0,29006.0,24890.0,16077.0
CONCHO,4360209.0,4116630.0,3810699.0,3894527.0,3783503.0,3480065.0,3203167.0,3487064.0,4061336.0,3792224.0,3747186.0,3526375.0,3672782.0,3694448.0,3470061.0,2311540.0
COOKE,45883393.0,46531340.0,46525057.0,45255986.0,45424714.0,43316112.0,41127181.0,39613129.0,38354690.0,37808779.0,30941301.0,31804964.0,34585052.0,31947552.0,30838734.0,23131563.0
CORYELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COTTLE,691975.0,540896.0,577370.0,396699.0,389012.0,421899.0,459879.0,465702.0,499768.0,539785.0,405545.0,309970.0,538461.0,597587.0,606050.0,427527.0
CRANE,189776979.0,182674263.0,186196159.0,194500766.0,184464969.0,194965539.0,188859410.0,167501613.0,174682947.0,176495920.0,132907130.0,109829145.0,146440640.0,154124187.0,134390957.0,115721145.0
CROCKETT,83976672.0,83796935.0,88575462.0,94665105.0,98775197.0,86427617.0,65932028.0,58242423.0,58800061.0,60388296.0,59734530.0,55619786.0,55072787.0,62810193.0,62962595.0,46472502.0
CROSBY,19673225.0,21450221.0,30332670.0,33196263.0,47472206.0,53028070.0,35535874.0,32141545.0,31590644.0,31952544.0,21013291.0,19995128.0,22188396.0,24049315.0,22952444.0,17996143.0
CULBERSON,3661960.0,2443247.0,5838911.0,9425413.0,17835178.0,28329470.0,42406035.0,80935225.0,115340814.0,165229441.0,230736483.0,207928715.0,273298803.0,264342259.0,270081411.0,221939261.0
DALLAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALLAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAWSON,60154243.0,56734155.0,58778832.0,58804284.0,65177747.0,58910804.0,60375851.0,61695399.0,60114787.0,59422234.0,57267303.0,49508985.0,43282084.0,53696961.0,79694383.0,75610044.0
DE WITT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEAF SMITH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENTON,4113595.0,6783489.0,5953412.0,5450218.0,5378598.0,5050658.0,4734323.0,3947178.0,3658714.0,4021879.0,4401397.0,5020161.0,5349130.0,5756959.0,4471382.0,3365544.0
DICKENS,4574443.0,4109640.0,4385958.0,4752482.0,4844928.0,4720263.0,4395402.0,4438412.0,4226658.0,4289640.0,4017501.0,3802613.0,3871470.0,3694676.0,3792432.0,3062676.0
DIMMIT,7731071.0,11653842.0,14739737.0,19341388.0,37095797.0,44044359.0,30285221.0,39276929.0,51168951.0,48588212.0,25960380.0,21754147.0,30311525.0,46689064.0,45110104.0,29009345.0
DONLEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUVAL,33660620.0,30749884.0,40383022.0,42812096.0,41791241.0,39253822.0,33683179.0,32079045.0,31026137.0,33407570.0,30407660.0,30357466.0,31696418.0,29981509.0,28353402.0,19960217.0
EASTLAND,14288662.0,13787607.0,13168050.0,12819958.0,11943897.0,8760858.0,8425007.0,7220902.0,6539504.0,6387505.0,6024927.0,5834546.0,6219733.0,4403090.0,3661383.0,2237905.0
ECTOR,422051054.0,449563205.0,469031211.0,509724034.0,550992271.0,553070814.0,507574727.0,514522374.0,505431637.0,462388001.0,399437099.0,312764095.0,300001123.0,284606229.0,285682569.0,195140907.0
EDWARDS,561189.0,528280.0,479715.0,421794.0,327438.0,311969.0,230932.0,242555.0,267821.0,196182.0,183355.0,150970.0,159166.0,194024.0,234574.0,142345.0
EL PASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELLIS,13235.0,6620.0,14603.0,14279.0,14227.0,14200.0,14400.0,14400.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERATH,300949.0,393808.0,423287.0,480931.0,1478504.0,1046679.0,901748.0,631308.0,313344.0,4708.0,1864.0,4958.0,51096.0,52983.0,49561.0,33276.0
FALLS,0.0,0.0,0.0,791.0,706.0,990.0,250.0,430.0,359.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
FANNIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAYETTE,4062995.0,4458111.0,6646135.0,8338674.0,10900671.0,6657827.0,2656276.0,3697507.0,7760139.0,7852935.0,5528212.0,6077093.0,7648252.0,4981673.0,4142593.0,3511821.0
FISHER,24143971.0,25307381.0,26764362.0,28192337.0,15412929.0,25547363.0,26396773.0,23569129.0,21224420.0,27814373.0,21304274.0,32114035.0,51691765.0,56691161.0,48114096.0,30409766.0
FLOYD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOARD,4196566.0,4512605.0,4018426.0,4445730.0,4580703.0,3291006.0,1535149.0,1358957.0,1533054.0,900455.0,497533.0,1365688.0,1897293.0,1224701.0,1420729.0,1136094.0
FORT BEND,26905829.0,25781200.0,23732110.0,28050076.0,32113447.0,29871038.0,23232111.0,29133274.0,32975729.0,31361285.0,27986799.0,27620440.0,27857014.0,27780332.0,25791961.0,18309226.0
FRANKLIN,16610934.0,12683931.0,12507082.0,15960091.0,23641112.0,32106309.0,32871398.0,32043360.0,30533255.0,30422138.0,20537460.0,27623869.0,29326943.0,23285837.0,24262392.0,17268332.0
FREESTONE,31920645.0,31338618.0,29522872.0,21661426.0,18831988.0,18641572.0,15756243.0,11989097.0,13219934.0,12801150.0,10160210.0,8150573.0,8507698.0,6508468.0,6770928.0,5060110.0
FRIO,5068339.0,8353505.0,19603350.0,26543877.0,26158887.0,18330719.0,10041879.0,12821525.0,12985075.0,14459912.0,13840178.0,13125565.0,17894443.0,20520221.0,16365915.0,10822393.0
GAINES,379579145.0,379310038.0,372663617.0,380399690.0,405544764.0,402883427.0,362954404.0,355396468.0,386721976.0,411778840.0,461201845.0,319257825.0,324555375.0,280519737.0,280457906.0,208734758.0
GALVESTON,8910447.0,8082592.0,7143008.0,6006375.0,5516953.0,4859095.0,4386783.0,2615049.0,3222827.0,3067235.0,1849989.0,800724.0,1209033.0,998895.0,1387710.0,1041222.0
GARZA,59078890.0,58163605.0,61026979.0,64148797.0,64758258.0,61154013.0,61968740.0,55702438.0,57019903.0,56819365.0,48851373.0,48508945.0,47487376.0,43916555.0,42984216.0,31876002.0
GILLESPIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLASSCOCK,40071403.0,65269508.0,109306125.0,122791633.0,144562890.0,150561921.0,139216775.0,155267208.0,197151071.0,206715775.0,178896693.0,164331436.0,178374750.0,201908034.0,222466028.0,163203881.0
GOLIAD,4715524.0,7047173.0,7457205.0,4588003.0,4115956.0,3594031.0,2564710.0,2103390.0,2741079.0,2494929.0,1583731.0,1299065.0,1445161.0,1361877.0,1260942.0,955317.0
GONZALES,856476.0,3858230.0,10419779.0,18180302.0,25641081.0,26927254.0,21802021.0,19012024.0,24377372.0,28269941.0,29500543.0,31995792.0,31700813.0,32687657.0,28211772.0,19153972.0
GRAY,9219523.0,8049485.0,9977938.0,10874723.0,11313094.0,11091871.0,10592185.0,9669782.0,9057135.0,8804430.0,7906541.0,7641285.0,7121592.0,6636231.0,6357451.0,4376713.0
